"性","セイ","名","メイ","年齢","年齢階層","性別","身長","体重","bmi","所在地","最終学歴","専攻学科","職業","給料","配偶状況","初婚年齢","喫煙","飲酒","生活満足度"
"三穂","みほ","姫虹","ひめこ",35,"35-39","女",158.4,47.7,19,"神奈川県","高校・旧中","なし","無職その他","100万円～","有配偶",32,"吸わない","飲まない (飲めない)","やや不満だ"
"上滝","こうたき","城真","しろま",64,"60-64","男",166.3,66.9,24.2,"山口県","大学・大学院","大学 教育","生産工程従事者","700万円～","離別",25,"吸わない","毎日","やや満足"
"加来","かく","展太","てんた",63,"60-64","男",168.9,70.7,24.8,"鹿児島県","大学・大学院","大学 社会科学","輸送・機械運転従事者","1000万円～1500万円","有配偶",31,"毎日吸っている","飲まない (飲めない)","やや満足"
"木邊","きべ","久之介","きゅうのすけ",44,"40-44","男",163.9,84.9,31.6,"静岡県","高校・旧中","なし","分類不能の職業","100万円以下","有配偶",27,"毎日吸っている","毎日","やや満足"
"三馬","みんま","咲則","さくのり",64,"60-64","男",165.5,68.2,24.9,"愛知県","高校・旧中","なし","無職その他","400万円～","有配偶",26,"吸わない","週３-４日","やや満足"
"津和","つわ","拓秀","たくひで",19,"15-19","男",174.2,63.1,20.8,"大阪府","高校・旧中","なし","無職その他","300万円～","未婚",NA,"吸わない","飲まない (飲めない)","満足"
"葛石","かっせき","亮代","あきよ",76,"75-79","女",151.3,51,22.3,"岩手県","短大・高専","短大 その他","無職その他","200万円～","死別",28,"吸わない","飲まない (飲めない)","満足"
"挺屋","ちょうや","廉代","れんよ",43,"40-44","女",156.7,49.4,20.1,"兵庫県","高校・旧中","なし","無職その他","200万円～","有配偶",27,"吸わない","飲まない (飲めない)","やや満足"
"土屋","つちや","瑠海","るか",65,"65-69","女",156.9,66.7,27.1,"宮城県","高校・旧中","なし","販売従事者","100万円～","有配偶",20,"吸わない","週３-４日","やや不満だ"
"賀上","かがみ","紅覇","こうは",43,"40-44","男",171.3,78.6,26.8,"神奈川県","高校・旧中","なし","販売従事者","1500万円～2000万円","有配偶",43,"以前は吸っていたが.１か月以上吸っていない","毎日","やや満足"
"厚目","あつめ","陽苗","ひなえ",78,"75-79","女",150,45.4,20.2,"徳島県","短大・高専","短大 教育","無職その他","600万円～","死別",36,"吸わない","飲まない (飲めない)","やや不満だ"
"種岡","たねおか","叶羅","かなら",20,"20-24","女",153.4,37.7,16,"東京都","小学校・中学校","なし","無職その他","200万円～","未婚",NA,"吸わない","毎日","満足"
"中畔","なかあぜ","璃亜斗","りあと",20,"20-24","男",171.4,72.6,24.7,"埼玉県","短大・高専","短大 教育","無職その他","600万円～","未婚",NA,"毎日吸っている","月に１-３日","やや満足"
"大多尾","おおたお","慶大","けいた",25,"25-29","男",173.4,82.1,27.3,"千葉県","大学・大学院","大学 工学","生産工程従事者","500万円～","未婚",NA,"時々吸う日がある","週１-２日","やや不満だ"
"河嵜","かわさき","愛真里","あまり",44,"40-44","女",157.2,60.8,24.6,"千葉県","高校・旧中","なし","無職その他","300万円～","離別",31,"吸わない","月に１-３日","満足"
"泉波","せんば","憲示","のりじ",44,"40-44","男",172.5,62.2,20.9,"千葉県","高校・旧中","なし","生産工程従事者","300万円～","有配偶",41,"毎日吸っている","週１-２日","やや満足"
"藤阪","ふじさか","緋来良","ひぐら",66,"65-69","男",166.2,64.6,23.4,"岐阜県","高校・旧中","なし","農林漁業従事者","500万円～","有配偶",40,"毎日吸っている","毎日","やや満足"
"北地","きたじ","咲磨","さくま",18,"15-19","男",166.6,81.6,29.4,"栃木県","高校・旧中","なし","無職その他","800万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"鴛渕","おしぶち","敏渥","としあつ",15,"15-19","男",164.1,39.9,14.8,"千葉県","小学校・中学校","なし","無職その他","400万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"了源","りょうげん","紗都稀","さつき",78,"75-79","女",146,46,21.6,"東京都","小学校・中学校","なし","無職その他","300万円～","死別",28,"吸わない","飲まない (飲めない)","やや満足"
"安国","やすくに","隆大郎","りゅうたろう",55,"55-59","男",169.3,58.5,20.4,"沖縄県","高校・旧中","なし","保安職業従事者","500万円～","有配偶",31,"吸わない","ほとんど飲まない","不満だ"
"一力","いちりき","実結奈","みゆな",88,"85-89","女",149.4,53.1,23.8,"千葉県","高校・旧中","なし","無職その他","100万円以下","死別",22,"吸わない","飲まない (飲めない)","不満だ"
"紺","こん","英実那","えみな",82,"80-84","女",154.4,42,17.6,"千葉県","小学校・中学校","なし","無職その他","300万円～","死別",22,"吸わない","飲まない (飲めない)","やや満足"
"宇多村","うたむら","響騎","ひびき",61,"60-64","男",158.6,58.6,23.3,"福島県","大学・大学院","大学 理学","無職その他","300万円～","有配偶",27,"吸わない","週５-６日","やや満足"
"萩谷","はぎたに","磨璃","まり",61,"60-64","女",145.2,46.4,22,"茨城県","高校・旧中","なし","サービス職業従事者","400万円～","有配偶",43,"吸わない","毎日","やや満足"
"生津","いきつ","賢都","けんと",29,"25-29","男",177,47.9,15.3,"愛媛県","短大・高専","高専 電気情報工学","サービス職業従事者","300万円～","有配偶",28,"吸わない","毎日","やや満足"
"多々納","たたの","嘉麻良","かまら",62,"60-64","男",166.7,71.4,25.7,"愛知県","小学校・中学校","なし","無職その他","200万円～","有配偶",33,"毎日吸っている","毎日","やや満足"
"持永","もちなが","純三郎","じゅんざぶろう",81,"80-84","男",171.8,83.2,28.2,"埼玉県","大学・大学院","大学 教育","無職その他","300万円～","有配偶",27,"吸わない","毎日","やや満足"
"日詰","ひづめ","順照","よりてる",50,"50-54","男",172.7,74.6,25,"長野県","高校・旧中","なし","生産工程従事者","300万円～","有配偶",22,"毎日吸っている","飲まない (飲めない)","やや不満だ"
"尾後貫","おごぬき","道茂","みちしげ",47,"45-49","男",167.2,59.8,21.4,"福島県","高校・旧中","なし","無職その他","400万円～","有配偶",26,"吸わない","飲まない (飲めない)","やや満足"
"井ノ辺","いのべ","絵萌","えも",22,"20-24","女",157.6,45.5,18.3,"大分県","短大・高専","短大 人文","専門的・技術的職業従事者","300万円～","未婚",NA,"吸わない","ほとんど飲まない","やや不満だ"
"繁桝","しげます","郁瑛","ふみえ",43,"40-44","女",159.2,60.1,23.7,"神奈川県","高校・旧中","なし","事務従事者","400万円～","有配偶",35,"吸わない","ほとんど飲まない","やや満足"
"志賀浦","しがうら","千結良","ちゆら",83,"80-84","女",150.2,63.6,28.2,"愛知県","小学校・中学校","なし","無職その他","400万円～","死別",21,"吸わない","飲まない (飲めない)","やや不満だ"
"定木","さだき","美茶","みさ",53,"50-54","女",148.7,56.6,25.6,"青森県","短大・高専","短大 保健","無職その他","200万円～","有配偶",21,"吸わない","飲まない (飲めない)","やや不満だ"
"仕合","しあい","親太郎","ちかたろう",22,"20-24","男",170.7,55.4,19,"群馬県","高校・旧中","なし","販売従事者","1000万円～1500万円","未婚",NA,"毎日吸っている","ほとんど飲まない","やや満足"
"門谷","かどたに","聖恵","きよえ",24,"20-24","女",147.8,43.7,20,"山形県","大学・大学院","大学 保健","無職その他","200万円～","未婚",NA,"吸わない","ほとんど飲まない","やや満足"
"上鶴","かみづる","君士朗","きみじろう",47,"45-49","男",168.4,86.2,30.4,"埼玉県","高校・旧中","なし","生産工程従事者","100万円～","有配偶",26,"吸わない","飲まない (飲めない)","やや満足"
"薬師丸","やくしまる","閃里","せんり",42,"40-44","女",152.4,52.7,22.7,"北海道","短大・高専","短大 家政","無職その他","200万円～","有配偶",32,"毎日吸っている","ほとんど飲まない","やや満足"
"上形","かみがた","真那佳","まなか",48,"45-49","女",152.4,50.6,21.8,"埼玉県","高校・旧中","なし","無職その他","100万円以下","有配偶",21,"吸わない","月に１-３日","やや満足"
"冠野","かんの","都海","とみ",22,"20-24","男",164.9,76.7,28.2,"埼玉県","高校・旧中","なし","専門的・技術的職業従事者","900万円～","有配偶",21,"吸わない","月に１-３日","満足"
"間部","まぶ","早利衣","さりい",46,"45-49","女",159.4,51.6,20.3,"神奈川県","大学・大学院","大学 教育","事務従事者","100万円～","離別",25,"吸わない","飲まない (飲めない)","不満だ"
"奈良崎","ならざき","麻椋","おぐら",34,"30-34","女",153.9,50.2,21.2,"神奈川県","大学・大学院","大学 保健","無職その他","100万円～","有配偶",28,"吸わない","ほとんど飲まない","やや満足"
"芝原","しばはら","智文","ともふみ",50,"50-54","男",173.7,51.3,17,"広島県","高校・旧中","なし","事務従事者","300万円～","有配偶",33,"時々吸う日がある","毎日","やや不満だ"
"徳中","とくなか","里椿花","りつか",54,"50-54","女",153.9,54.2,22.9,"埼玉県","高校・旧中","なし","生産工程従事者","400万円～","有配偶",32,"吸わない","週５-６日","やや満足"
"荻沼","おぎぬま","時邑","ときさと",43,"40-44","男",170.2,91.5,31.6,"埼玉県","高校・旧中","なし","無職その他","600万円～","有配偶",42,"毎日吸っている","週５-６日","やや満足"
"川里","かわさと","義算","よしかず",45,"45-49","男",179.3,75.9,23.6,"北海道","高校・旧中","なし","販売従事者","700万円～","有配偶",31,"毎日吸っている","ほとんど飲まない","やや満足"
"福岡","ふくおか","亜友","あとむ",23,"20-24","男",166.8,60.9,21.9,"沖縄県","短大・高専","短大 社会","無職その他","400万円～","未婚",NA,"吸わない","月に１-３日","やや満足"
"具志","ぐし","生也","いくや",39,"35-39","男",163.7,66.7,24.9,"大阪府","大学・大学院","大学 社会科学","生産工程従事者","300万円～","未婚",NA,"吸わない","ほとんど飲まない","やや満足"
"江連","えずれ","慈郎","じろう",44,"40-44","男",181.1,62.6,19.1,"京都府","大学・大学院","大学 工学","無職その他","1000万円～1500万円","有配偶",31,"毎日吸っている","飲まない (飲めない)","やや満足"
"甲斐崎","かいざき","巴和","はな",36,"35-39","女",162.9,50.4,19,"三重県","高校・旧中","なし","無職その他","400万円～","死別",32,"吸わない","週５-６日","やや満足"
"鷹股","たかまた","毎愛","まいな",28,"25-29","女",152.1,58.3,25.2,"大阪府","高校・旧中","なし","サービス職業従事者","100万円以下","有配偶",25,"毎日吸っている","ほとんど飲まない","やや満足"
"水門","すいもん","彩己","さな",23,"20-24","女",159.7,43.9,17.2,"千葉県","高校・旧中","なし","事務従事者","100万円～","未婚",NA,"毎日吸っている","ほとんど飲まない","満足"
"垣添","かきぞえ","美映","みはる",45,"45-49","女",164.8,65.2,24,"東京都","高校・旧中","なし","サービス職業従事者","700万円～","有配偶",30,"吸わない","週３-４日","満足"
"戸沢","とざわ","佐莉依","さりい",67,"65-69","女",159.7,64.3,25.2,"岩手県","高校・旧中","なし","無職その他","300万円～","有配偶",21,"吸わない","ほとんど飲まない","満足"
